Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Огне», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;72 136;0,034;
август 2023;72 332;0,034;
сентябрь 2023;78 389;0,032;
октябрь 2023;85 808;0,032;
ноябрь 2023;87 501;0,033;
декабрь 2023;96 022;0,035;
январь 2024;96 417;0,036;
февраль 2024;79 162;0,032;
март 2024;81 027;0,031;
апрель 2024;76 137;0,032;
май 2024;98 011;0,041;
июнь 2024;57 881;0,029;
июль 2024;58 212;0,029;
август 2024;58 471;0,029;
сентябрь 2024;62 481;0,029;
октябрь 2024;74 218;0,029;
ноябрь 2024;82 600;0,032;
декабрь 2024;96 192;0,035;
январь 2025;97 195;0,036;
февраль 2025;98 141;0,037;
март 2025;99 541;0,037;
апрель 2025;125 492;0,048;
май 2025;94 057;0,039;
июнь 2025;73 099;0,031;
