Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сиденья для ванн», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;158;0,000074;
август 2023;139;0,000065;
сентябрь 2023;133;0,000055;
октябрь 2023;212;0,000079;
ноябрь 2023;177;0,000067;
декабрь 2023;114;0,000042;
январь 2024;101;0,000038;
февраль 2024;122;0,000049;
март 2024;97;0,000038;
апрель 2024;96;0,000040;
май 2024;107;0,000045;
июнь 2024;121;0,000061;
июль 2024;118;0,000060;
август 2024;138;0,000070;
сентябрь 2024;96;0,000044;
октябрь 2024;136;0,000054;
ноябрь 2024;132;0,000051;
декабрь 2024;130;0,000048;
январь 2025;119;0,000044;
февраль 2025;145;0,000056;
март 2025;111;0,000041;
апрель 2025;116;0,000044;
май 2025;55;0,000023;
июнь 2025;114;0,000048;
