Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пластиковые профили», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;664;0,00031;
август 2023;650;0,00030;
сентябрь 2023;753;0,00031;
октябрь 2023;664;0,00024;
ноябрь 2023;574;0,00021;
декабрь 2023;487;0,00018;
январь 2024;490;0,00018;
февраль 2024;490;0,00020;
март 2024;710;0,00027;
апрель 2024;582;0,00024;
май 2024;644;0,00027;
июнь 2024;633;0,00032;
июль 2024;661;0,00033;
август 2024;702;0,00035;
сентябрь 2024;638;0,00029;
октябрь 2024;653;0,00026;
ноябрь 2024;685;0,00026;
декабрь 2024;514;0,00019;
январь 2025;591;0,00021;
февраль 2025;629;0,00024;
март 2025;637;0,00023;
апрель 2025;702;0,00027;
май 2025;730;0,00030;
июнь 2025;682;0,00029;
