Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Брусчатка», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;19 171;0,0090;
август 2023;17 215;0,0080;
сентябрь 2023;14 817;0,0061;
октябрь 2023;8 878;0,0033;
ноябрь 2023;5 209;0,0019;
декабрь 2023;2 880;0,0010;
январь 2024;3 220;0,0012;
февраль 2024;3 975;0,0016;
март 2024;7 276;0,0028;
апрель 2024;18 272;0,0076;
май 2024;21 192;0,0090;
июнь 2024;19 100;0,0097;
июль 2024;18 654;0,0095;
август 2024;15 109;0,0077;
сентябрь 2024;13 827;0,0064;
октябрь 2024;8 812;0,0035;
ноябрь 2024;4 920;0,0019;
декабрь 2024;3 480;0,0012;
январь 2025;4 330;0,0016;
февраль 2025;5 366;0,0020;
март 2025;11 894;0,0044;
апрель 2025;21 214;0,0081;
май 2025;23 360;0,0097;
июнь 2025;23 025;0,0098;
