Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стремянки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;5 772;0,0027;
август 2023;5 807;0,0027;
сентябрь 2023;5 899;0,0024;
октябрь 2023;6 724;0,0025;
ноябрь 2023;6 412;0,0024;
декабрь 2023;5 779;0,0021;
январь 2024;5 222;0,0019;
февраль 2024;6 153;0,0025;
март 2024;6 423;0,0025;
апрель 2024;6 678;0,0028;
май 2024;6 322;0,0026;
июнь 2024;5 412;0,0027;
июль 2024;6 379;0,0032;
август 2024;6 001;0,0030;
сентябрь 2024;6 210;0,0028;
октябрь 2024;6 626;0,0026;
ноябрь 2024;6 825;0,0026;
декабрь 2024;6 507;0,0024;
январь 2025;5 870;0,0021;
февраль 2025;6 700;0,0025;
март 2025;7 475;0,0027;
апрель 2025;7 005;0,0027;
май 2025;6 072;0,0025;
июнь 2025;6 386;0,0027;
