Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Столбы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;20 752;0,0098;
август 2023;20 090;0,0094;
сентябрь 2023;23 782;0,0099;
октябрь 2023;26 172;0,0097;
ноябрь 2023;20 395;0,0077;
декабрь 2023;19 146;0,0071;
январь 2024;19 632;0,0075;
февраль 2024;23 223;0,0094;
март 2024;21 676;0,0084;
апрель 2024;29 003;0,0122;
май 2024;32 840;0,0140;
июнь 2024;22 955;0,0117;
июль 2024;22 284;0,0114;
август 2024;20 049;0,0102;
сентябрь 2024;23 881;0,0110;
октябрь 2024;24 809;0,0099;
ноябрь 2024;22 637;0,0087;
декабрь 2024;21 655;0,0080;
январь 2025;22 777;0,0084;
февраль 2025;30 196;0,0116;
март 2025;26 720;0,0099;
апрель 2025;33 870;0,0130;
май 2025;32 868;0,0137;
июнь 2025;28 259;0,0121;
