Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Дренажные, фекальные насосы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;8 601;0,0040;
август 2023;7 165;0,0033;
сентябрь 2023;6 005;0,0025;
октябрь 2023;6 474;0,0024;
ноябрь 2023;6 305;0,0023;
декабрь 2023;4 709;0,0017;
январь 2024;4 849;0,0018;
февраль 2024;5 995;0,0024;
март 2024;7 447;0,0029;
апрель 2024;11 482;0,0048;
май 2024;8 875;0,0037;
июнь 2024;9 392;0,0048;
июль 2024;9 500;0,0048;
август 2024;7 814;0,0039;
сентябрь 2024;6 972;0,0032;
октябрь 2024;6 753;0,0027;
ноябрь 2024;6 762;0,0026;
декабрь 2024;5 894;0,0021;
январь 2025;5 655;0,0021;
февраль 2025;6 066;0,0023;
март 2025;8 338;0,0031;
апрель 2025;9 212;0,0035;
май 2025;9 915;0,0041;
июнь 2025;11 301;0,0048;
