Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мотопомпы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 863;0,00135;
август 2023;1 416;0,00066;
сентябрь 2023;1 289;0,00053;
октябрь 2023;1 331;0,00049;
ноябрь 2023;1 335;0,00050;
декабрь 2023;1 064;0,00039;
январь 2024;1 076;0,00041;
февраль 2024;1 787;0,00072;
март 2024;2 190;0,00085;
апрель 2024;2 522;0,00106;
май 2024;2 374;0,00101;
июнь 2024;2 009;0,00102;
июль 2024;2 358;0,00120;
август 2024;1 302;0,00066;
сентябрь 2024;1 073;0,00049;
октябрь 2024;1 300;0,00052;
ноябрь 2024;1 206;0,00046;
декабрь 2024;1 040;0,00038;
январь 2025;923;0,00034;
февраль 2025;1 436;0,00055;
март 2025;1 769;0,00065;
апрель 2025;1 678;0,00064;
май 2025;1 879;0,00078;
июнь 2025;1 800;0,00077;
