Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Уровни», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;177 262;0,084;
август 2023;169 082;0,079;
сентябрь 2023;268 809;0,112;
октябрь 2023;283 068;0,105;
ноябрь 2023;286 782;0,109;
декабрь 2023;283 243;0,105;
январь 2024;299 234;0,114;
февраль 2024;281 632;0,115;
март 2024;297 617;0,116;
апрель 2024;301 524;0,126;
май 2024;282 527;0,120;
июнь 2024;196 920;0,100;
июль 2024;154 247;0,079;
август 2024;151 873;0,077;
сентябрь 2024;237 312;0,110;
октябрь 2024;273 060;0,109;
ноябрь 2024;292 482;0,113;
декабрь 2024;334 752;0,124;
январь 2025;360 314;0,133;
февраль 2025;365 241;0,141;
март 2025;395 382;0,147;
апрель 2025;354 310;0,136;
май 2025;321 926;0,134;
июнь 2025;279 239;0,119;
