Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Коврики», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;36 461;0,017;
август 2023;36 225;0,017;
сентябрь 2023;36 322;0,015;
октябрь 2023;45 268;0,016;
ноябрь 2023;47 711;0,018;
декабрь 2023;41 982;0,015;
январь 2024;42 082;0,016;
февраль 2024;40 308;0,016;
март 2024;42 540;0,016;
апрель 2024;38 409;0,016;
май 2024;34 253;0,014;
июнь 2024;28 471;0,014;
июль 2024;31 185;0,015;
август 2024;32 981;0,016;
сентябрь 2024;32 013;0,014;
октябрь 2024;38 640;0,015;
ноябрь 2024;41 589;0,016;
декабрь 2024;42 413;0,015;
январь 2025;42 139;0,015;
февраль 2025;40 091;0,015;
март 2025;40 128;0,014;
апрель 2025;32 817;0,012;
май 2025;28 853;0,012;
июнь 2025;29 528;0,012;
