Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Керамогранит», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;19 417;0,0092;
август 2023;19 396;0,0091;
сентябрь 2023;19 418;0,0081;
октябрь 2023;20 791;0,0077;
ноябрь 2023;20 502;0,0077;
декабрь 2023;17 508;0,0065;
январь 2024;17 742;0,0067;
февраль 2024;19 256;0,0078;
март 2024;21 387;0,0083;
апрель 2024;20 242;0,0085;
май 2024;20 831;0,0088;
июнь 2024;17 367;0,0088;
июль 2024;20 873;0,0107;
август 2024;20 565;0,0105;
сентябрь 2024;18 082;0,0083;
октябрь 2024;20 737;0,0083;
ноябрь 2024;22 009;0,0085;
декабрь 2024;20 561;0,0076;
январь 2025;22 934;0,0085;
февраль 2025;22 432;0,0086;
март 2025;22 895;0,0085;
апрель 2025;22 050;0,0085;
май 2025;19 912;0,0083;
июнь 2025;21 132;0,0090;
