Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гигиенический душ», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 450;0,0011;
август 2023;2 533;0,0011;
сентябрь 2023;2 668;0,0011;
октябрь 2023;3 129;0,0011;
ноябрь 2023;3 272;0,0012;
декабрь 2023;3 086;0,0011;
январь 2024;3 164;0,0012;
февраль 2024;3 282;0,0013;
март 2024;3 176;0,0012;
апрель 2024;2 612;0,0010;
май 2024;2 609;0,0011;
июнь 2024;2 286;0,0011;
июль 2024;2 658;0,0013;
август 2024;2 662;0,0013;
сентябрь 2024;2 357;0,0010;
октябрь 2024;2 764;0,0011;
ноябрь 2024;3 159;0,0012;
декабрь 2024;2 990;0,0011;
январь 2025;3 593;0,0013;
февраль 2025;3 370;0,0013;
март 2025;3 188;0,0011;
апрель 2025;2 976;0,0011;
май 2025;2 537;0,0010;
июнь 2025;2 805;0,0012;
