Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сливные трапы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;159;0,000075;
август 2023;111;0,000052;
сентябрь 2023;75;0,000031;
октябрь 2023;106;0,000039;
ноябрь 2023;100;0,000038;
декабрь 2023;79;0,000029;
январь 2024;85;0,000032;
февраль 2024;67;0,000027;
март 2024;86;0,000033;
апрель 2024;100;0,000042;
май 2024;144;0,000061;
июнь 2024;123;0,000063;
июль 2024;150;0,000076;
август 2024;112;0,000057;
сентябрь 2024;130;0,000060;
октябрь 2024;133;0,000053;
ноябрь 2024;114;0,000044;
декабрь 2024;117;0,000043;
январь 2025;76;0,000028;
февраль 2025;89;0,000034;
март 2025;143;0,000053;
апрель 2025;117;0,000045;
май 2025;100;0,000041;
июнь 2025;145;0,000062;
