Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Швеллеры», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;6 381;0,0030;
август 2023;6 084;0,0028;
сентябрь 2023;6 317;0,0026;
октябрь 2023;6 602;0,0024;
ноябрь 2023;5 690;0,0021;
декабрь 2023;5 131;0,0019;
январь 2024;4 290;0,0016;
февраль 2024;5 403;0,0022;
март 2024;6 069;0,0023;
апрель 2024;6 437;0,0027;
май 2024;6 796;0,0029;
июнь 2024;6 110;0,0031;
июль 2024;6 599;0,0033;
август 2024;5 888;0,0030;
сентябрь 2024;6 597;0,0030;
октябрь 2024;7 153;0,0028;
ноябрь 2024;6 323;0,0024;
декабрь 2024;6 568;0,0024;
январь 2025;6 175;0,0022;
февраль 2025;7 115;0,0027;
март 2025;7 589;0,0028;
апрель 2025;7 714;0,0029;
май 2025;7 510;0,0031;
июнь 2025;7 473;0,0032;
