Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Группы безопасности», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 671;0,00079;
август 2023;1 882;0,00088;
сентябрь 2023;3 509;0,00146;
октябрь 2023;3 406;0,00127;
ноябрь 2023;3 722;0,00141;
декабрь 2023;2 237;0,00083;
январь 2024;2 185;0,00083;
февраль 2024;2 623;0,00107;
март 2024;2 582;0,00101;
апрель 2024;2 808;0,00118;
май 2024;2 508;0,00107;
июнь 2024;1 987;0,00101;
июль 2024;1 964;0,00100;
август 2024;2 117;0,00108;
сентябрь 2024;3 766;0,00174;
октябрь 2024;3 913;0,00157;
ноябрь 2024;3 526;0,00136;
декабрь 2024;2 833;0,00105;
январь 2025;2 806;0,00104;
февраль 2025;2 916;0,00112;
март 2025;4 258;0,00158;
апрель 2025;3 693;0,00142;
май 2025;2 535;0,00106;
июнь 2025;2 182;0,00093;
