Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Конвекторы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;5 124;0,0024;
август 2023;7 816;0,0036;
сентябрь 2023;10 286;0,0042;
октябрь 2023;12 015;0,0044;
ноябрь 2023;9 038;0,0034;
декабрь 2023;11 124;0,0041;
январь 2024;7 603;0,0029;
февраль 2024;6 543;0,0026;
март 2024;6 205;0,0024;
апрель 2024;5 824;0,0024;
май 2024;11 473;0,0048;
июнь 2024;4 730;0,0024;
июль 2024;5 196;0,0026;
август 2024;6 550;0,0033;
сентябрь 2024;8 665;0,0040;
октябрь 2024;10 807;0,0043;
ноябрь 2024;9 690;0,0037;
декабрь 2024;8 994;0,0033;
январь 2025;7 460;0,0027;
февраль 2025;7 606;0,0029;
март 2025;7 277;0,0027;
апрель 2025;7 593;0,0029;
май 2025;7 036;0,0029;
июнь 2025;6 238;0,0026;
