Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шпаклевка», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;13 053;0,0061;
август 2023;12 920;0,0060;
сентябрь 2023;11 344;0,0047;
октябрь 2023;12 158;0,0045;
ноябрь 2023;11 345;0,0043;
декабрь 2023;9 700;0,0036;
январь 2024;9 788;0,0037;
февраль 2024;9 699;0,0039;
март 2024;11 727;0,0045;
апрель 2024;11 433;0,0048;
май 2024;11 683;0,0049;
июнь 2024;10 348;0,0053;
июль 2024;12 208;0,0062;
август 2024;12 119;0,0061;
сентябрь 2024;10 672;0,0049;
октябрь 2024;11 715;0,0047;
ноябрь 2024;11 936;0,0046;
декабрь 2024;10 684;0,0039;
январь 2025;12 222;0,0045;
февраль 2025;12 011;0,0046;
март 2025;12 440;0,0046;
апрель 2025;12 177;0,0047;
май 2025;12 094;0,0050;
июнь 2025;12 484;0,0053;
