Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Генераторы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;96 026;0,045;
август 2023;95 118;0,044;
сентябрь 2023;91 800;0,038;
октябрь 2023;115 177;0,043;
ноябрь 2023;126 064;0,047;
декабрь 2023;138 985;0,051;
январь 2024;134 476;0,051;
февраль 2024;128 493;0,052;
март 2024;129 953;0,050;
апрель 2024;121 377;0,051;
май 2024;120 531;0,051;
июнь 2024;108 441;0,055;
июль 2024;107 719;0,055;
август 2024;108 564;0,055;
сентябрь 2024;107 684;0,049;
октябрь 2024;126 189;0,050;
ноябрь 2024;143 229;0,055;
декабрь 2024;145 703;0,054;
январь 2025;140 064;0,052;
февраль 2025;137 555;0,053;
март 2025;142 510;0,053;
апрель 2025;129 429;0,049;
май 2025;126 002;0,052;
июнь 2025;129 813;0,055;
