Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Бензорезы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;387;0,000183;
август 2023;439;0,000206;
сентябрь 2023;308;0,000128;
октябрь 2023;340;0,000127;
ноябрь 2023;330;0,000125;
декабрь 2023;275;0,000102;
январь 2024;224;0,000085;
февраль 2024;261;0,000106;
март 2024;262;0,000102;
апрель 2024;325;0,000136;
май 2024;414;0,000176;
июнь 2024;408;0,000208;
июль 2024;341;0,000174;
август 2024;370;0,000189;
сентябрь 2024;427;0,000198;
октябрь 2024;368;0,000148;
ноябрь 2024;383;0,000148;
декабрь 2024;241;0,000089;
январь 2025;183;0,000067;
февраль 2025;231;0,000089;
март 2025;258;0,000096;
апрель 2025;376;0,000145;
май 2025;338;0,000141;
июнь 2025;438;0,000187;
