Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Скважинные насосы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 824;0,00133;
август 2023;1 994;0,00093;
сентябрь 2023;1 739;0,00072;
октябрь 2023;1 926;0,00071;
ноябрь 2023;1 521;0,00057;
декабрь 2023;1 157;0,00043;
январь 2024;1 182;0,00045;
февраль 2024;1 231;0,00050;
март 2024;1 599;0,00062;
апрель 2024;2 338;0,00098;
май 2024;2 712;0,00115;
июнь 2024;2 798;0,00143;
июль 2024;2 633;0,00135;
август 2024;1 646;0,00084;
сентябрь 2024;1 839;0,00085;
октябрь 2024;1 944;0,00078;
ноябрь 2024;1 461;0,00056;
декабрь 2024;1 331;0,00049;
январь 2025;1 162;0,00043;
февраль 2025;1 352;0,00052;
март 2025;1 643;0,00061;
апрель 2025;2 055;0,00079;
май 2025;2 639;0,00110;
июнь 2025;2 578;0,00110;
