Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Профили для плитки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;360;0,000170;
август 2023;289;0,000135;
сентябрь 2023;241;0,000100;
октябрь 2023;281;0,000105;
ноябрь 2023;294;0,000111;
декабрь 2023;201;0,000075;
январь 2024;287;0,000109;
февраль 2024;280;0,000114;
март 2024;382;0,000149;
апрель 2024;267;0,000112;
май 2024;292;0,000124;
июнь 2024;273;0,000139;
июль 2024;297;0,000152;
август 2024;290;0,000148;
сентябрь 2024;260;0,000120;
октябрь 2024;275;0,000110;
ноябрь 2024;305;0,000118;
декабрь 2024;300;0,000111;
январь 2025;389;0,000144;
февраль 2025;494;0,000190;
март 2025;385;0,000143;
апрель 2025;345;0,000133;
май 2025;348;0,000145;
июнь 2025;425;0,000182;
