Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Рулетки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;51 910;0,024;
август 2023;52 082;0,024;
сентябрь 2023;49 018;0,020;
октябрь 2023;52 881;0,019;
ноябрь 2023;51 241;0,019;
декабрь 2023;51 980;0,019;
январь 2024;59 031;0,022;
февраль 2024;50 409;0,020;
март 2024;49 216;0,019;
апрель 2024;39 308;0,016;
май 2024;40 696;0,017;
июнь 2024;40 117;0,020;
июль 2024;36 680;0,018;
август 2024;36 032;0,018;
сентябрь 2024;32 257;0,014;
октябрь 2024;37 579;0,015;
ноябрь 2024;39 642;0,015;
декабрь 2024;42 817;0,015;
январь 2025;45 783;0,017;
февраль 2025;43 269;0,016;
март 2025;46 681;0,017;
апрель 2025;42 388;0,016;
май 2025;46 246;0,019;
июнь 2025;52 647;0,022;
