Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Держатель туалетной бумаги», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;566;0,00026;
август 2023;622;0,00029;
сентябрь 2023;581;0,00024;
октябрь 2023;643;0,00024;
ноябрь 2023;586;0,00022;
декабрь 2023;521;0,00019;
январь 2024;569;0,00021;
февраль 2024;511;0,00020;
март 2024;532;0,00020;
апрель 2024;516;0,00021;
май 2024;564;0,00024;
июнь 2024;423;0,00021;
июль 2024;478;0,00024;
август 2024;460;0,00023;
сентябрь 2024;438;0,00020;
октябрь 2024;535;0,00021;
ноябрь 2024;699;0,00027;
декабрь 2024;507;0,00018;
январь 2025;543;0,00020;
февраль 2025;606;0,00023;
март 2025;454;0,00016;
апрель 2025;460;0,00017;
май 2025;472;0,00019;
июнь 2025;492;0,00021;
