Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Заклепки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;4 388;0,0020;
август 2023;5 112;0,0024;
сентябрь 2023;4 531;0,0018;
октябрь 2023;5 130;0,0019;
ноябрь 2023;5 100;0,0019;
декабрь 2023;5 093;0,0019;
январь 2024;4 118;0,0015;
февраль 2024;5 146;0,0021;
март 2024;5 283;0,0020;
апрель 2024;5 694;0,0023;
май 2024;5 514;0,0023;
июнь 2024;4 443;0,0022;
июль 2024;4 914;0,0025;
август 2024;4 744;0,0024;
сентябрь 2024;5 078;0,0023;
октябрь 2024;5 588;0,0022;
ноябрь 2024;5 589;0,0021;
декабрь 2024;5 612;0,0020;
январь 2025;4 827;0,0017;
февраль 2025;5 835;0,0022;
март 2025;6 390;0,0023;
апрель 2025;5 918;0,0022;
май 2025;5 302;0,0022;
июнь 2025;6 426;0,0027;
