Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пробки для ванны», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;139;0,000065;
август 2023;147;0,000069;
сентябрь 2023;170;0,000070;
октябрь 2023;169;0,000063;
ноябрь 2023;127;0,000048;
декабрь 2023;110;0,000041;
январь 2024;157;0,000060;
февраль 2024;99;0,000040;
март 2024;101;0,000039;
апрель 2024;102;0,000042;
май 2024;143;0,000061;
июнь 2024;124;0,000063;
июль 2024;81;0,000041;
август 2024;95;0,000048;
сентябрь 2024;103;0,000047;
октябрь 2024;116;0,000046;
ноябрь 2024;143;0,000055;
декабрь 2024;115;0,000042;
январь 2025;142;0,000052;
февраль 2025;106;0,000040;
март 2025;140;0,000052;
апрель 2025;98;0,000037;
май 2025;148;0,000062;
июнь 2025;113;0,000048;
