Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шланги для душа», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;677;0,00032;
август 2023;671;0,00031;
сентябрь 2023;607;0,00025;
октябрь 2023;549;0,00020;
ноябрь 2023;690;0,00026;
декабрь 2023;677;0,00025;
январь 2024;679;0,00025;
февраль 2024;648;0,00026;
март 2024;705;0,00027;
апрель 2024;475;0,00019;
май 2024;589;0,00025;
июнь 2024;644;0,00032;
июль 2024;651;0,00033;
август 2024;636;0,00032;
сентябрь 2024;553;0,00025;
октябрь 2024;573;0,00023;
ноябрь 2024;720;0,00027;
декабрь 2024;629;0,00023;
январь 2025;583;0,00021;
февраль 2025;742;0,00028;
март 2025;666;0,00024;
апрель 2025;645;0,00024;
май 2025;658;0,00027;
июнь 2025;743;0,00031;
