Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Душевые комплекты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;317;0,00015;
август 2023;359;0,00016;
сентябрь 2023;281;0,00011;
октябрь 2023;433;0,00016;
ноябрь 2023;363;0,00013;
декабрь 2023;373;0,00013;
январь 2024;348;0,00013;
февраль 2024;289;0,00011;
март 2024;327;0,00012;
апрель 2024;289;0,00012;
май 2024;401;0,00017;
июнь 2024;222;0,00011;
июль 2024;325;0,00016;
август 2024;225;0,00011;
сентябрь 2024;231;0,00010;
октябрь 2024;290;0,00011;
ноябрь 2024;307;0,00011;
декабрь 2024;288;0,00010;
январь 2025;339;0,00012;
февраль 2025;304;0,00011;
март 2025;342;0,00012;
апрель 2025;346;0,00013;
май 2025;281;0,00011;
июнь 2025;323;0,00013;
