Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Детекторы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;8 338;0,0039;
август 2023;7 550;0,0035;
сентябрь 2023;7 584;0,0031;
октябрь 2023;9 103;0,0034;
ноябрь 2023;8 755;0,0033;
декабрь 2023;8 069;0,0030;
январь 2024;8 021;0,0030;
февраль 2024;8 391;0,0034;
март 2024;8 843;0,0034;
апрель 2024;8 056;0,0033;
май 2024;8 224;0,0035;
июнь 2024;6 629;0,0033;
июль 2024;7 217;0,0037;
август 2024;6 638;0,0033;
сентябрь 2024;6 527;0,0030;
октябрь 2024;8 336;0,0033;
ноябрь 2024;8 800;0,0034;
декабрь 2024;9 988;0,0037;
январь 2025;10 125;0,0037;
февраль 2025;9 563;0,0036;
март 2025;9 870;0,0036;
апрель 2025;8 879;0,0034;
май 2025;8 576;0,0035;
июнь 2025;9 095;0,0039;
