Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Лестницы строительные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;122;0,000057;
август 2023;152;0,000071;
сентябрь 2023;103;0,000042;
октябрь 2023;99;0,000037;
ноябрь 2023;89;0,000033;
декабрь 2023;73;0,000027;
январь 2024;58;0,000022;
февраль 2024;75;0,000030;
март 2024;99;0,000038;
апрель 2024;86;0,000036;
май 2024;63;0,000026;
июнь 2024;94;0,000048;
июль 2024;98;0,000050;
август 2024;92;0,000047;
сентябрь 2024;76;0,000035;
октябрь 2024;94;0,000037;
ноябрь 2024;71;0,000027;
декабрь 2024;89;0,000033;
январь 2025;101;0,000037;
февраль 2025;62;0,000023;
март 2025;88;0,000032;
апрель 2025;109;0,000042;
май 2025;96;0,000040;
июнь 2025;140;0,000060;
