Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мозаика», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;9 319;0,0044;
август 2023;9 652;0,0045;
сентябрь 2023;12 422;0,0051;
октябрь 2023;15 254;0,0057;
ноябрь 2023;16 166;0,0061;
декабрь 2023;14 479;0,0054;
январь 2024;15 639;0,0059;
февраль 2024;14 071;0,0057;
март 2024;14 553;0,0057;
апрель 2024;13 503;0,0056;
май 2024;12 955;0,0055;
июнь 2024;8 051;0,0041;
июль 2024;8 653;0,0044;
август 2024;8 844;0,0045;
сентябрь 2024;10 521;0,0048;
октябрь 2024;13 802;0,0055;
ноябрь 2024;14 562;0,0056;
декабрь 2024;13 793;0,0051;
январь 2025;16 035;0,0059;
февраль 2025;15 489;0,0059;
март 2025;14 680;0,0054;
апрель 2025;11 766;0,0045;
май 2025;12 282;0,0051;
июнь 2025;11 095;0,0047;
