Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Скобы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;9 587;0,0045;
август 2023;9 565;0,0044;
сентябрь 2023;9 071;0,0037;
октябрь 2023;10 355;0,0038;
ноябрь 2023;9 814;0,0037;
декабрь 2023;8 780;0,0032;
январь 2024;8 084;0,0030;
февраль 2024;8 877;0,0036;
март 2024;9 936;0,0038;
апрель 2024;10 406;0,0043;
май 2024;10 814;0,0046;
июнь 2024;10 191;0,0052;
июль 2024;9 868;0,0050;
август 2024;9 932;0,0050;
сентябрь 2024;10 289;0,0047;
октябрь 2024;11 382;0,0045;
ноябрь 2024;11 541;0,0044;
декабрь 2024;10 944;0,0040;
январь 2025;9 687;0,0035;
февраль 2025;11 220;0,0043;
март 2025;12 075;0,0044;
апрель 2025;12 387;0,0047;
май 2025;11 654;0,0048;
июнь 2025;13 039;0,0055;
