Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фильтры сетевые», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 533;0,0012;
август 2023;2 605;0,0012;
сентябрь 2023;2 646;0,0011;
октябрь 2023;3 093;0,0011;
ноябрь 2023;2 721;0,0010;
декабрь 2023;3 305;0,0012;
январь 2024;2 859;0,0010;
февраль 2024;2 784;0,0011;
март 2024;2 951;0,0011;
апрель 2024;2 486;0,0010;
май 2024;2 843;0,0012;
июнь 2024;2 378;0,0012;
июль 2024;2 311;0,0011;
август 2024;2 556;0,0013;
сентябрь 2024;2 586;0,0012;
октябрь 2024;2 999;0,0012;
ноябрь 2024;3 067;0,0011;
декабрь 2024;3 203;0,0011;
январь 2025;2 916;0,0010;
февраль 2025;3 275;0,0012;
март 2025;3 358;0,0012;
апрель 2025;2 760;0,0010;
май 2025;2 615;0,0010;
июнь 2025;2 575;0,0011;
