Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Аксессуары для компрессоров», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;16;0,00000758;
август 2023;13;0,00000611;
сентябрь 2023;21;0,00000876;
октябрь 2023;3;0,00000112;
ноябрь 2023;8;0,00000304;
декабрь 2023;13;0,00000485;
январь 2024;3;0,00000114;
февраль 2024;9;0,00000367;
март 2024;5;0,00000195;
апрель 2024;15;0,00000631;
май 2024;6;0,00000256;
июнь 2024;3;0,00000153;
июль 2024;10;0,00000512;
август 2024;3;0,00000153;
сентябрь 2024;5;0,00000232;
октябрь 2024;3;0,00000120;
ноябрь 2024;0;0;
декабрь 2024;8;0,00000298;
январь 2025;2;0,00000074;
февраль 2025;7;0,00000270;
март 2025;2;0,00000074;
апрель 2025;8;0,00000308;
май 2025;3;0,00000125;
июнь 2025;26;0,00001115;
