Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Морилки для дерева», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;365;0,000173;
август 2023;301;0,000141;
сентябрь 2023;282;0,000117;
октябрь 2023;306;0,000114;
ноябрь 2023;209;0,000079;
декабрь 2023;199;0,000074;
январь 2024;171;0,000065;
февраль 2024;204;0,000083;
март 2024;189;0,000074;
апрель 2024;283;0,000119;
май 2024;376;0,000160;
июнь 2024;327;0,000167;
июль 2024;312;0,000159;
август 2024;282;0,000144;
сентябрь 2024;249;0,000115;
октябрь 2024;218;0,000087;
ноябрь 2024;220;0,000085;
декабрь 2024;139;0,000051;
январь 2025;186;0,000069;
февраль 2025;192;0,000074;
март 2025;252;0,000093;
апрель 2025;293;0,000113;
май 2025;343;0,000143;
июнь 2025;349;0,000149;
