Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мобильная телефония», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;35;0,0000165;
август 2023;51;0,0000239;
сентябрь 2023;67;0,0000279;
октябрь 2023;106;0,0000396;
ноябрь 2023;59;0,0000224;
декабрь 2023;58;0,0000216;
январь 2024;56;0,0000214;
февраль 2024;26;0,0000106;
март 2024;23;0,0000090;
апрель 2024;13;0,0000054;
май 2024;15;0,0000064;
июнь 2024;13;0,0000066;
июль 2024;16;0,0000082;
август 2024;21;0,0000107;
сентябрь 2024;18;0,0000083;
октябрь 2024;58;0,0000233;
ноябрь 2024;42;0,0000162;
декабрь 2024;55;0,0000205;
январь 2025;17;0,0000063;
февраль 2025;18;0,0000069;
март 2025;19;0,0000070;
апрель 2025;8;0,0000030;
май 2025;18;0,0000075;
июнь 2025;11;0,0000047;
