Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Зеркала косметические», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;142;0,000067;
август 2023;129;0,000060;
сентябрь 2023;129;0,000053;
октябрь 2023;192;0,000071;
ноябрь 2023;211;0,000080;
декабрь 2023;221;0,000082;
январь 2024;194;0,000074;
февраль 2024;161;0,000065;
март 2024;204;0,000079;
апрель 2024;145;0,000061;
май 2024;123;0,000052;
июнь 2024;100;0,000051;
июль 2024;139;0,000071;
август 2024;141;0,000072;
сентябрь 2024;131;0,000060;
октябрь 2024;132;0,000053;
ноябрь 2024;166;0,000064;
декабрь 2024;177;0,000066;
январь 2025;135;0,000050;
февраль 2025;190;0,000073;
март 2025;157;0,000058;
апрель 2025;125;0,000048;
май 2025;110;0,000046;
июнь 2025;146;0,000062;
