Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Водосток пластиковый», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;280;0,000132;
август 2023;282;0,000132;
сентябрь 2023;307;0,000128;
октябрь 2023;197;0,000073;
ноябрь 2023;138;0,000052;
декабрь 2023;45;0,000016;
январь 2024;31;0,000011;
февраль 2024;67;0,000027;
март 2024;139;0,000054;
апрель 2024;186;0,000078;
май 2024;308;0,000131;
июнь 2024;260;0,000133;
июль 2024;335;0,000171;
август 2024;450;0,000229;
сентябрь 2024;288;0,000133;
октябрь 2024;228;0,000091;
ноябрь 2024;121;0,000046;
декабрь 2024;32;0,000011;
январь 2025;57;0,000021;
февраль 2025;115;0,000044;
март 2025;249;0,000092;
апрель 2025;238;0,000091;
май 2025;381;0,000159;
июнь 2025;316;0,000135;
