Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Перфораторы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;13 926;0,0066;
август 2023;14 405;0,0067;
сентябрь 2023;13 256;0,0055;
октябрь 2023;14 791;0,0055;
ноябрь 2023;14 549;0,0055;
декабрь 2023;11 671;0,0043;
январь 2024;12 093;0,0046;
февраль 2024;12 912;0,0052;
март 2024;13 435;0,0052;
апрель 2024;13 117;0,0055;
май 2024;13 808;0,0058;
июнь 2024;12 235;0,0062;
июль 2024;12 840;0,0065;
август 2024;12 965;0,0066;
сентябрь 2024;12 294;0,0057;
октябрь 2024;13 630;0,0054;
ноябрь 2024;13 588;0,0052;
декабрь 2024;13 032;0,0048;
январь 2025;13 291;0,0049;
февраль 2025;13 558;0,0052;
март 2025;13 919;0,0051;
апрель 2025;12 240;0,0047;
май 2025;12 177;0,0051;
июнь 2025;12 626;0,0054;
