Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Краски для дерева», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 757;0,00130;
август 2023;2 437;0,00114;
сентябрь 2023;1 986;0,00082;
октябрь 2023;1 634;0,00061;
ноябрь 2023;1 409;0,00053;
декабрь 2023;774;0,00028;
январь 2024;930;0,00035;
февраль 2024;922;0,00037;
март 2024;1 317;0,00051;
апрель 2024;2 922;0,00122;
май 2024;2 571;0,00109;
июнь 2024;2 211;0,00113;
июль 2024;2 474;0,00126;
август 2024;2 008;0,00102;
сентябрь 2024;1 809;0,00083;
октябрь 2024;1 472;0,00059;
ноябрь 2024;1 188;0,00046;
декабрь 2024;884;0,00032;
январь 2025;990;0,00036;
февраль 2025;1 010;0,00039;
март 2025;1 601;0,00059;
апрель 2025;2 720;0,00105;
май 2025;2 469;0,00103;
июнь 2025;2 278;0,00097;
