Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Двери душевые», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 003;0,00047;
август 2023;949;0,00044;
сентябрь 2023;844;0,00035;
октябрь 2023;967;0,00036;
ноябрь 2023;973;0,00037;
декабрь 2023;792;0,00029;
январь 2024;775;0,00029;
февраль 2024;830;0,00033;
март 2024;916;0,00035;
апрель 2024;763;0,00032;
май 2024;961;0,00041;
июнь 2024;775;0,00039;
июль 2024;998;0,00051;
август 2024;936;0,00047;
сентябрь 2024;921;0,00042;
октябрь 2024;857;0,00034;
ноябрь 2024;1 208;0,00046;
декабрь 2024;1 007;0,00037;
январь 2025;1 121;0,00041;
февраль 2025;1 030;0,00039;
март 2025;1 279;0,00047;
апрель 2025;1 542;0,00059;
май 2025;1 644;0,00068;
июнь 2025;1 406;0,00060;
