Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кирпич», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;68 375;0,032;
август 2023;65 511;0,030;
сентябрь 2023;64 907;0,027;
октябрь 2023;60 303;0,022;
ноябрь 2023;51 952;0,019;
декабрь 2023;43 077;0,016;
январь 2024;43 803;0,016;
февраль 2024;44 923;0,018;
март 2024;55 286;0,021;
апрель 2024;64 986;0,027;
май 2024;79 657;0,034;
июнь 2024;63 213;0,032;
июль 2024;64 927;0,033;
август 2024;58 144;0,029;
сентябрь 2024;57 892;0,026;
октябрь 2024;56 953;0,022;
ноябрь 2024;48 912;0,018;
декабрь 2024;45 149;0,016;
январь 2025;62 001;0,023;
февраль 2025;53 618;0,020;
март 2025;62 131;0,023;
апрель 2025;67 234;0,025;
май 2025;67 585;0,028;
июнь 2025;69 633;0,029;
