Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Каркасы для ванн», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;185;0,000087;
август 2023;222;0,000104;
сентябрь 2023;186;0,000077;
октябрь 2023;279;0,000104;
ноябрь 2023;214;0,000081;
декабрь 2023;157;0,000058;
январь 2024;221;0,000084;
февраль 2024;166;0,000067;
март 2024;183;0,000071;
апрель 2024;132;0,000055;
май 2024;161;0,000068;
июнь 2024;143;0,000073;
июль 2024;203;0,000104;
август 2024;174;0,000088;
сентябрь 2024;139;0,000064;
октябрь 2024;175;0,000070;
ноябрь 2024;215;0,000083;
декабрь 2024;165;0,000061;
январь 2025;258;0,000095;
февраль 2025;211;0,000081;
март 2025;186;0,000069;
апрель 2025;171;0,000066;
май 2025;173;0,000072;
июнь 2025;188;0,000080;
