Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Каркасы для душевых поддонов», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;15;0,0000071;
август 2023;26;0,0000122;
сентябрь 2023;19;0,0000079;
октябрь 2023;18;0,0000067;
ноябрь 2023;27;0,0000102;
декабрь 2023;7;0,0000026;
январь 2024;6;0,0000022;
февраль 2024;15;0,0000061;
март 2024;21;0,0000082;
апрель 2024;18;0,0000075;
май 2024;20;0,0000085;
июнь 2024;29;0,0000148;
июль 2024;19;0,0000097;
август 2024;28;0,0000143;
сентябрь 2024;10;0,0000046;
октябрь 2024;14;0,0000056;
ноябрь 2024;14;0,0000054;
декабрь 2024;17;0,0000063;
январь 2025;37;0,0000137;
февраль 2025;24;0,0000092;
март 2025;24;0,0000089;
апрель 2025;21;0,0000081;
май 2025;19;0,0000079;
июнь 2025;20;0,0000085;
