Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Штангенциркули», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 353;0,0011;
август 2023;2 212;0,0010;
сентябрь 2023;3 268;0,0013;
октябрь 2023;3 449;0,0012;
ноябрь 2023;3 659;0,0013;
декабрь 2023;3 271;0,0012;
январь 2024;2 797;0,0010;
февраль 2024;3 652;0,0014;
март 2024;3 516;0,0013;
апрель 2024;3 266;0,0013;
май 2024;3 334;0,0014;
июнь 2024;2 746;0,0014;
июль 2024;2 567;0,0013;
август 2024;2 476;0,0012;
сентябрь 2024;3 348;0,0015;
октябрь 2024;3 558;0,0014;
ноябрь 2024;4 275;0,0016;
декабрь 2024;3 949;0,0014;
январь 2025;3 338;0,0012;
февраль 2025;4 281;0,0016;
март 2025;4 324;0,0016;
апрель 2025;4 076;0,0015;
май 2025;3 631;0,0015;
июнь 2025;3 340;0,0014;
