Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Баки расширительные для отопления», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;388;0,00018;
август 2023;664;0,00031;
сентябрь 2023;916;0,00038;
октябрь 2023;971;0,00036;
ноябрь 2023;725;0,00027;
декабрь 2023;813;0,00030;
январь 2024;652;0,00024;
февраль 2024;398;0,00016;
март 2024;409;0,00016;
апрель 2024;348;0,00014;
май 2024;430;0,00018;
июнь 2024;281;0,00014;
июль 2024;480;0,00024;
август 2024;613;0,00031;
сентябрь 2024;749;0,00034;
октябрь 2024;936;0,00037;
ноябрь 2024;806;0,00031;
декабрь 2024;709;0,00026;
январь 2025;511;0,00018;
февраль 2025;437;0,00016;
март 2025;372;0,00013;
апрель 2025;302;0,00011;
май 2025;244;0,00010;
июнь 2025;281;0,00012;
