Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плитка для кухни», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;982;0,00046;
август 2023;810;0,00038;
сентябрь 2023;873;0,00036;
октябрь 2023;1 039;0,00038;
ноябрь 2023;956;0,00036;
декабрь 2023;852;0,00031;
январь 2024;971;0,00037;
февраль 2024;834;0,00034;
март 2024;888;0,00034;
апрель 2024;768;0,00032;
май 2024;659;0,00028;
июнь 2024;486;0,00024;
июль 2024;637;0,00032;
август 2024;572;0,00029;
сентябрь 2024;615;0,00028;
октябрь 2024;833;0,00033;
ноябрь 2024;825;0,00031;
декабрь 2024;790;0,00029;
январь 2025;747;0,00027;
февраль 2025;724;0,00027;
март 2025;709;0,00026;
апрель 2025;617;0,00023;
май 2025;528;0,00022;
июнь 2025;562;0,00024;
