Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Канализационные трубы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;7 529;0,0035;
август 2023;7 477;0,0035;
сентябрь 2023;6 999;0,0029;
октябрь 2023;7 187;0,0026;
ноябрь 2023;6 466;0,0024;
декабрь 2023;5 497;0,0020;
январь 2024;5 788;0,0022;
февраль 2024;5 485;0,0022;
март 2024;6 203;0,0024;
апрель 2024;6 913;0,0029;
май 2024;8 146;0,0034;
июнь 2024;7 164;0,0036;
июль 2024;7 405;0,0037;
август 2024;7 336;0,0037;
сентябрь 2024;7 604;0,0035;
октябрь 2024;7 989;0,0032;
ноябрь 2024;7 139;0,0027;
декабрь 2024;6 089;0,0022;
январь 2025;6 166;0,0022;
февраль 2025;6 125;0,0023;
март 2025;6 854;0,0025;
апрель 2025;7 824;0,0030;
май 2025;8 191;0,0034;
июнь 2025;8 780;0,0037;
