Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для насосов», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;30;0,0000142;
август 2023;21;0,0000098;
сентябрь 2023;33;0,0000137;
октябрь 2023;42;0,0000156;
ноябрь 2023;33;0,0000125;
декабрь 2023;29;0,0000108;
январь 2024;13;0,0000049;
февраль 2024;15;0,0000061;
март 2024;29;0,0000113;
апрель 2024;32;0,0000134;
май 2024;44;0,0000187;
июнь 2024;47;0,0000240;
июль 2024;13;0,0000066;
август 2024;11;0,0000056;
сентябрь 2024;16;0,0000074;
октябрь 2024;23;0,0000092;
ноябрь 2024;27;0,0000104;
декабрь 2024;14;0,0000052;
январь 2025;16;0,0000059;
февраль 2025;22;0,0000085;
март 2025;18;0,0000067;
апрель 2025;25;0,0000096;
май 2025;25;0,0000104;
июнь 2025;17;0,0000072;
