Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Столешницы для ванной», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;438;0,000207;
август 2023;465;0,000218;
сентябрь 2023;726;0,000303;
октябрь 2023;841;0,000314;
ноябрь 2023;603;0,000229;
декабрь 2023;489;0,000182;
январь 2024;500;0,000191;
февраль 2024;416;0,000169;
март 2024;556;0,000217;
апрель 2024;302;0,000127;
май 2024;353;0,000150;
июнь 2024;329;0,000168;
июль 2024;344;0,000176;
август 2024;443;0,000226;
сентябрь 2024;275;0,000127;
октябрь 2024;339;0,000136;
ноябрь 2024;406;0,000157;
декабрь 2024;270;0,000100;
январь 2025;350;0,000129;
февраль 2025;349;0,000134;
март 2025;351;0,000130;
апрель 2025;286;0,000110;
май 2025;237;0,000099;
июнь 2025;233;0,000099;
