Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Строительные блоки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;404;0,00019;
август 2023;347;0,00016;
сентябрь 2023;360;0,00015;
октябрь 2023;372;0,00013;
ноябрь 2023;360;0,00013;
декабрь 2023;331;0,00012;
январь 2024;342;0,00013;
февраль 2024;326;0,00013;
март 2024;410;0,00016;
апрель 2024;438;0,00018;
май 2024;497;0,00021;
июнь 2024;428;0,00021;
июль 2024;359;0,00018;
август 2024;383;0,00019;
сентябрь 2024;322;0,00014;
октябрь 2024;352;0,00014;
ноябрь 2024;349;0,00013;
декабрь 2024;334;0,00012;
январь 2025;407;0,00015;
февраль 2025;358;0,00013;
март 2025;409;0,00015;
апрель 2025;441;0,00017;
май 2025;466;0,00019;
июнь 2025;414;0,00017;
