Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Трубы профильные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;12 824;0,0060;
август 2023;11 645;0,0054;
сентябрь 2023;11 259;0,0046;
октябрь 2023;9 984;0,0037;
ноябрь 2023;8 335;0,0031;
декабрь 2023;5 665;0,0021;
январь 2024;6 397;0,0024;
февраль 2024;7 360;0,0030;
март 2024;9 696;0,0038;
апрель 2024;14 605;0,0061;
май 2024;15 704;0,0067;
июнь 2024;12 393;0,0063;
июль 2024;12 298;0,0063;
август 2024;11 375;0,0058;
сентябрь 2024;10 809;0,0050;
октябрь 2024;10 417;0,0041;
ноябрь 2024;8 708;0,0033;
декабрь 2024;7 429;0,0027;
январь 2025;8 946;0,0033;
февраль 2025;10 130;0,0039;
март 2025;13 616;0,0050;
апрель 2025;16 733;0,0064;
май 2025;16 741;0,0070;
июнь 2025;16 166;0,0069;
