Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Двери жалюзийные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;700;0,00033;
август 2023;617;0,00029;
сентябрь 2023;643;0,00026;
октябрь 2023;666;0,00024;
ноябрь 2023;739;0,00028;
декабрь 2023;439;0,00016;
январь 2024;540;0,00020;
февраль 2024;513;0,00020;
март 2024;596;0,00023;
апрель 2024;637;0,00026;
май 2024;714;0,00030;
июнь 2024;574;0,00029;
июль 2024;627;0,00032;
август 2024;690;0,00035;
сентябрь 2024;532;0,00024;
октябрь 2024;538;0,00021;
ноябрь 2024;564;0,00021;
декабрь 2024;420;0,00015;
январь 2025;576;0,00021;
февраль 2025;575;0,00022;
март 2025;499;0,00018;
апрель 2025;584;0,00022;
май 2025;708;0,00029;
июнь 2025;736;0,00031;
