Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Керамогранит большеформатный», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;6;0,00000284;
август 2023;2;0,00000094;
сентябрь 2023;3;0,00000125;
октябрь 2023;12;0,00000448;
ноябрь 2023;1;0,00000038;
декабрь 2023;0;0;
январь 2024;11;0,00000420;
февраль 2024;3;0,00000122;
март 2024;7;0,00000274;
апрель 2024;12;0,00000505;
май 2024;5;0,00000213;
июнь 2024;3;0,00000153;
июль 2024;7;0,00000358;
август 2024;11;0,00000562;
сентябрь 2024;5;0,00000232;
октябрь 2024;5;0,00000201;
ноябрь 2024;7;0,00000271;
декабрь 2024;2;0,00000074;
январь 2025;19;0,00000705;
февраль 2025;8;0,00000309;
март 2025;4;0,00000149;
апрель 2025;1;0,00000038;
май 2025;2;0,00000083;
июнь 2025;6;0,00000257;
