Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Душевые поддоны», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;3 779;0,0017;
август 2023;4 326;0,0020;
сентябрь 2023;3 926;0,0016;
октябрь 2023;5 075;0,0018;
ноябрь 2023;4 480;0,0017;
декабрь 2023;3 562;0,0013;
январь 2024;3 989;0,0015;
февраль 2024;3 593;0,0014;
март 2024;3 763;0,0014;
апрель 2024;3 579;0,0015;
май 2024;3 998;0,0017;
июнь 2024;4 144;0,0021;
июль 2024;4 229;0,0021;
август 2024;4 212;0,0021;
сентябрь 2024;3 685;0,0017;
октябрь 2024;4 150;0,0016;
ноябрь 2024;4 297;0,0016;
декабрь 2024;3 762;0,0014;
январь 2025;4 481;0,0016;
февраль 2025;4 012;0,0015;
март 2025;4 610;0,0017;
апрель 2025;4 558;0,0017;
май 2025;4 727;0,0019;
июнь 2025;5 067;0,0021;
