Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Калитки и ворота», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;741;0,000351;
август 2023;676;0,000317;
сентябрь 2023;491;0,000204;
октябрь 2023;369;0,000137;
ноябрь 2023;254;0,000096;
декабрь 2023;163;0,000060;
январь 2024;191;0,000073;
февраль 2024;179;0,000073;
март 2024;256;0,000100;
апрель 2024;545;0,000229;
май 2024;761;0,000324;
июнь 2024;533;0,000273;
июль 2024;696;0,000356;
август 2024;510;0,000260;
сентябрь 2024;464;0,000215;
октябрь 2024;324;0,000130;
ноябрь 2024;245;0,000094;
декабрь 2024;145;0,000054;
январь 2025;243;0,000090;
февраль 2025;193;0,000074;
март 2025;381;0,000141;
апрель 2025;624;0,000240;
май 2025;633;0,000265;
июнь 2025;568;0,000243;
