Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Вантузы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 317;0,00062;
август 2023;1 525;0,00071;
сентябрь 2023;1 778;0,00074;
октябрь 2023;2 190;0,00081;
ноябрь 2023;2 161;0,00082;
декабрь 2023;1 796;0,00067;
январь 2024;1 593;0,00060;
февраль 2024;1 645;0,00067;
март 2024;1 566;0,00061;
апрель 2024;1 141;0,00048;
май 2024;1 064;0,00045;
июнь 2024;1 008;0,00051;
июль 2024;879;0,00045;
август 2024;902;0,00046;
сентябрь 2024;929;0,00043;
октябрь 2024;916;0,00036;
ноябрь 2024;956;0,00037;
декабрь 2024;1 175;0,00043;
январь 2025;1 060;0,00039;
февраль 2025;997;0,00038;
март 2025;1 153;0,00042;
апрель 2025;948;0,00036;
май 2025;870;0,00036;
июнь 2025;921;0,00039;
