Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тазы и ведра», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;16;0,0000075;
август 2023;26;0,0000122;
сентябрь 2023;25;0,0000104;
октябрь 2023;49;0,0000183;
ноябрь 2023;11;0,0000041;
декабрь 2023;28;0,0000104;
январь 2024;25;0,0000095;
февраль 2024;21;0,0000085;
март 2024;26;0,0000101;
апрель 2024;38;0,0000159;
май 2024;34;0,0000145;
июнь 2024;22;0,0000112;
июль 2024;15;0,0000076;
август 2024;4;0,0000020;
сентябрь 2024;7;0,0000032;
октябрь 2024;16;0,0000064;
ноябрь 2024;23;0,0000089;
декабрь 2024;10;0,0000037;
январь 2025;15;0,0000055;
февраль 2025;24;0,0000092;
март 2025;15;0,0000055;
апрель 2025;23;0,0000088;
май 2025;25;0,0000104;
июнь 2025;18;0,0000077;
