Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Клей», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;69 313;0,032;
август 2023;69 971;0,032;
сентябрь 2023;67 310;0,028;
октябрь 2023;78 037;0,029;
ноябрь 2023;77 270;0,029;
декабрь 2023;74 916;0,027;
январь 2024;65 327;0,024;
февраль 2024;65 182;0,026;
март 2024;72 695;0,028;
апрель 2024;70 407;0,029;
май 2024;73 876;0,031;
июнь 2024;62 663;0,032;
июль 2024;68 046;0,034;
август 2024;66 764;0,034;
сентябрь 2024;62 651;0,029;
октябрь 2024;74 830;0,030;
ноябрь 2024;79 985;0,031;
декабрь 2024;81 187;0,030;
январь 2025;75 031;0,027;
февраль 2025;74 139;0,028;
март 2025;81 365;0,030;
апрель 2025;79 936;0,030;
май 2025;76 165;0,031;
июнь 2025;76 794;0,032;
