Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ленты бордюрные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;994;0,00047;
август 2023;1 140;0,00053;
сентябрь 2023;882;0,00036;
октябрь 2023;850;0,00031;
ноябрь 2023;736;0,00027;
декабрь 2023;664;0,00024;
январь 2024;696;0,00026;
февраль 2024;664;0,00027;
март 2024;673;0,00026;
апрель 2024;1 284;0,00054;
май 2024;2 027;0,00086;
июнь 2024;1 410;0,00072;
июль 2024;1 166;0,00059;
август 2024;1 006;0,00051;
сентябрь 2024;1 022;0,00047;
октябрь 2024;837;0,00033;
ноябрь 2024;707;0,00027;
декабрь 2024;866;0,00032;
январь 2025;824;0,00030;
февраль 2025;759;0,00029;
март 2025;822;0,00030;
апрель 2025;1 443;0,00055;
май 2025;2 104;0,00088;
июнь 2025;1 470;0,00063;
