Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Орешницы, вафельницы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;362;0,00017;
август 2023;343;0,00016;
сентябрь 2023;417;0,00017;
октябрь 2023;592;0,00022;
ноябрь 2023;650;0,00024;
декабрь 2023;857;0,00031;
январь 2024;931;0,00035;
февраль 2024;902;0,00036;
март 2024;881;0,00034;
апрель 2024;581;0,00024;
май 2024;593;0,00025;
июнь 2024;312;0,00015;
июль 2024;365;0,00018;
август 2024;408;0,00020;
сентябрь 2024;476;0,00022;
октябрь 2024;681;0,00027;
ноябрь 2024;1 016;0,00039;
декабрь 2024;1 152;0,00042;
январь 2025;1 164;0,00043;
февраль 2025;964;0,00037;
март 2025;1 011;0,00037;
апрель 2025;528;0,00020;
май 2025;569;0,00023;
июнь 2025;400;0,00017;
