Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мотобуры», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 845;0,00087;
август 2023;1 436;0,00067;
сентябрь 2023;1 404;0,00058;
октябрь 2023;1 224;0,00045;
ноябрь 2023;797;0,00030;
декабрь 2023;614;0,00022;
январь 2024;825;0,00031;
февраль 2024;683;0,00027;
март 2024;1 050;0,00041;
апрель 2024;1 429;0,00060;
май 2024;2 623;0,00111;
июнь 2024;1 639;0,00083;
июль 2024;1 445;0,00074;
август 2024;1 412;0,00072;
сентябрь 2024;1 277;0,00059;
октябрь 2024;1 236;0,00049;
ноябрь 2024;665;0,00025;
декабрь 2024;641;0,00023;
январь 2025;588;0,00021;
февраль 2025;859;0,00033;
март 2025;1 429;0,00053;
апрель 2025;2 218;0,00085;
май 2025;2 403;0,00100;
июнь 2025;1 823;0,00078;
