Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Штакетник», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;3 878;0,00183;
август 2023;3 791;0,00178;
сентябрь 2023;3 300;0,00137;
октябрь 2023;2 400;0,00089;
ноябрь 2023;1 573;0,00059;
декабрь 2023;776;0,00028;
январь 2024;1 020;0,00039;
февраль 2024;1 026;0,00041;
март 2024;1 814;0,00071;
апрель 2024;5 320;0,00223;
май 2024;6 132;0,00261;
июнь 2024;4 428;0,00226;
июль 2024;4 306;0,00220;
август 2024;3 501;0,00178;
сентябрь 2024;3 308;0,00153;
октябрь 2024;2 455;0,00098;
ноябрь 2024;1 921;0,00074;
декабрь 2024;975;0,00036;
январь 2025;1 310;0,00048;
февраль 2025;1 550;0,00059;
март 2025;2 809;0,00104;
апрель 2025;5 650;0,00218;
май 2025;6 069;0,00254;
июнь 2025;5 557;0,00238;
