Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шурупы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;3 528;0,0016;
август 2023;3 550;0,0016;
сентябрь 2023;3 442;0,0014;
октябрь 2023;4 144;0,0015;
ноябрь 2023;3 681;0,0014;
декабрь 2023;3 467;0,0012;
январь 2024;3 377;0,0012;
февраль 2024;3 525;0,0014;
март 2024;4 130;0,0016;
апрель 2024;3 900;0,0016;
май 2024;3 988;0,0017;
июнь 2024;3 510;0,0017;
июль 2024;3 669;0,0018;
август 2024;3 734;0,0019;
сентябрь 2024;3 643;0,0016;
октябрь 2024;4 406;0,0017;
ноябрь 2024;4 655;0,0018;
декабрь 2024;4 171;0,0015;
январь 2025;4 080;0,0015;
февраль 2025;4 290;0,0016;
март 2025;4 381;0,0016;
апрель 2025;4 833;0,0018;
май 2025;4 472;0,0018;
июнь 2025;5 176;0,0022;
