Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Полы наливные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;6 971;0,0033;
август 2023;6 866;0,0032;
сентябрь 2023;6 783;0,0028;
октябрь 2023;6 176;0,0023;
ноябрь 2023;5 911;0,0022;
декабрь 2023;4 606;0,0017;
январь 2024;4 830;0,0018;
февраль 2024;5 068;0,0020;
март 2024;5 743;0,0022;
апрель 2024;6 267;0,0026;
май 2024;6 319;0,0026;
июнь 2024;5 691;0,0029;
июль 2024;6 914;0,0035;
август 2024;6 802;0,0034;
сентябрь 2024;6 166;0,0028;
октябрь 2024;6 301;0,0025;
ноябрь 2024;6 219;0,0024;
декабрь 2024;5 342;0,0019;
январь 2025;5 751;0,0021;
февраль 2025;5 712;0,0022;
март 2025;6 900;0,0025;
апрель 2025;6 372;0,0024;
май 2025;6 718;0,0028;
июнь 2025;7 354;0,0031;
